Source,Target,Type,Weight
Lynch,Arnold,Undirected,23
Murray,Douglas,Undirected,29
Clark,Thornton,Undirected,30
Schneider,Chambers,Undirected,80
Ryan,Wilson,Undirected,19
Wells,Schwartz,Undirected,15
Berry,Silva,Undirected,21
Garrett,Neal,Undirected,17
Hughes,Bailey,Undirected,13
Wong,Robinson,Undirected,39
Pearson,Newman,Undirected,35
Perkins,Bradley,Undirected,7
Myers,Lynch,Undirected,36
Mendoza,Peterson,Undirected,12
Salazar,Ferguson,Undirected,19
Mcdaniel,Stewart,Undirected,101
Brown,Schmidt,Undirected,8
Medina,Phillips,Undirected,5
Schmidt,Ryan,Undirected,22
Schmidt,Nguyen,Undirected,41
Burton,Hoffman,Undirected,15
Munoz,Chavez,Undirected,13
Harrison,Olson,Undirected,23
Douglas,Patterson,Undirected,46
Spencer,Mendoza,Undirected,52
Harris,Hayes,Undirected,35
Richardson,Barnett,Undirected,20
Hopkins,Maldonado,Undirected,39
Bryant,Watts,Undirected,55
Turner,Murphy,Undirected,6
Carroll,Barnes,Undirected,37
Frazier,Cooper,Undirected,7
Bradley,Chambers,Undirected,47
Stewart,Thornton,Undirected,14
Padilla,Salazar,Undirected,15
Nguyen,Gomez,Undirected,21
Gibson,Norris,Undirected,65
Spencer,Bryant,Undirected,9
Robinson,Banks,Undirected,57
Castillo,Nguyen,Undirected,9
Day,Brooks,Undirected,36
Olson,Green,Undirected,6
Larson,Schmidt,Undirected,369
Schmidt,Lucas,Undirected,27
Ross,Lee,Undirected,21
Graves,Bryant,Undirected,38
Kim,Cunningham,Undirected,6
Moreno,Schneider,Undirected,7
Peterson,Lynch,Undirected,32
Holland,Brewer,Undirected,36
Ross,Arnold,Undirected,59
Silva,Arnold,Undirected,25
Price,Harris,Undirected,38
Perez,Shelton,Undirected,27
Gilbert,Murphy,Undirected,15
Richards,Lopez,Undirected,26
Leonard,Cox,Undirected,32
Lopez,Dominguez,Undirected,18
Ray,Mcdaniel,Undirected,53
Graves,Rice,Undirected,10
Lowe,Banks,Undirected,8
Arnold,Miles,Undirected,50
Mcdaniel,Murray,Undirected,8
Ruiz,Wilson,Undirected,24
Horton,Garrett,Undirected,12
Carr,Little,Undirected,9
Gomez,Henry,Undirected,48
Gray,Brewer,Undirected,15
Bush,Murray,Undirected,17
Maldonado,Bush,Undirected,8
Vega,Robertson,Undirected,24
Barnes,Lee,Undirected,15
Graves,Adams,Undirected,7
Clark,Lambert,Undirected,6
Walker,Flores,Undirected,28
Cunningham,Freeman,Undirected,11
Gonzales,Gibson,Undirected,26
Garrett,Stanley,Undirected,16
Schmidt,Vasquez,Undirected,28
Hughes,Schneider,Undirected,11
Armstrong,Neal,Undirected,6
Reynolds,Wilson,Undirected,24
Jacobs,Douglas,Undirected,41
Reed,Chapman,Undirected,10
Salazar,Peterson,Undirected,10
Howell,Neal,Undirected,33
Richardson,Mcdonald,Undirected,28
Carlson,Walters,Undirected,10
Pena,Brown,Undirected,22
Simpson,George,Undirected,5
Bryant,Turner,Undirected,29
Guerrero,Lewis,Undirected,11
Ferguson,Park,Undirected,107
Bryant,Schmidt,Undirected,31
Douglas,Jimenez,Undirected,12
Caldwell,Jenkins,Undirected,6
Lynch,Vasquez,Undirected,13
Thornton,Johnson,Undirected,13
Dunn,Black,Undirected,29
Black,Freeman,Undirected,11
Stewart,Barnett,Undirected,9
Shaw,Lopez,Undirected,5
Price,Lewis,Undirected,23
Neal,Thomas,Undirected,13
Lewis,Jenkins,Undirected,6
Park,Cook,Undirected,5
Carr,Salazar,Undirected,16
Jackson,Vaughn,Undirected,33
Reyes,Tran,Undirected,8
Norris,Gonzales,Undirected,128
Carlson,Myers,Undirected,18
Stone,Vasquez,Undirected,21
Murray,Watts,Undirected,14
Stone,Lowe,Undirected,51
Vasquez,Bell,Undirected,32
Lowe,Allen,Undirected,9
Webb,Garcia,Undirected,12
Schneider,Garrett,Undirected,15
Fuller,Torres,Undirected,5
Turner,Jennings,Undirected,16
Brown,Long,Undirected,16
Harvey,Garcia,Undirected,6
Gonzales,Nguyen,Undirected,10
Gonzales,Bryant,Undirected,8
Salazar,Carr,Undirected,9
Newman,Arnold,Undirected,56
Carroll,Ford,Undirected,36
Douglas,Harvey,Undirected,11
Schneider,Spencer,Undirected,20
Allen,Banks,Undirected,7
Vaughn,Jackson,Undirected,24
Rios,Kim,Undirected,9
Burns,Washington,Undirected,7
Nguyen,Robinson,Undirected,6
Warner,Cole,Undirected,46
Lewis,Watts,Undirected,19
Bush,Black,Undirected,28
Estrada,Robinson,Undirected,12
Warner,Shaw,Undirected,7
Jennings,Turner,Undirected,45
Carroll,Gonzales,Undirected,10
Pierce,Schneider,Undirected,112
Garcia,Webb,Undirected,31
Vaughn,Shaw,Undirected,55
Jordan,Nguyen,Undirected,38
Graves,Webb,Undirected,35
Lowe,Vasquez,Undirected,8
Barker,Schwartz,Undirected,6
Wilson,Garrett,Undirected,10
Johnson,Maldonado,Undirected,50
Lee,Lucas,Undirected,54
Bryant,Patel,Undirected,43
Bush,Gomez,Undirected,9
Pearson,Johnson,Undirected,20
Frazier,Little,Undirected,78
Banks,Schneider,Undirected,10
Nguyen,Ross,Undirected,72
Wilson,Armstrong,Undirected,37
Long,Ryan,Undirected,39
Ramos,Warner,Undirected,20
Hernandez,Lopez,Undirected,63
Byrd,Sanchez,Undirected,9
Chambers,Young,Undirected,18
Bradley,Wheeler,Undirected,5
Russell,Thornton,Undirected,52
Diaz,Hill,Undirected,10
Rios,Dunn,Undirected,11
Owens,Webb,Undirected,68
Castillo,Gibson,Undirected,27
Wilson,Mcdaniel,Undirected,12
Lambert,Fowler,Undirected,5
Neal,Jordan,Undirected,7
Hill,Bradley,Undirected,66
Aguilar,Gomez,Undirected,6
Carroll,Banks,Undirected,76
Hughes,Moreno,Undirected,10
Day,Armstrong,Undirected,21
Lowe,Ferguson,Undirected,13
Walters,Cooper,Undirected,12
Jimenez,Frazier,Undirected,29
Spencer,Douglas,Undirected,57
Murphy,Russell,Undirected,93
Rice,Chambers,Undirected,59
Bradley,Little,Undirected,37
Neal,Barnes,Undirected,7
Moreno,Webb,Undirected,49
Silva,Murphy,Undirected,19
Howell,Banks,Undirected,8
Barnes,Schneider,Undirected,5
Nguyen,Henry,Undirected,129
Byrd,Jackson,Undirected,25
Bradley,Gibson,Undirected,32
Salazar,Henry,Undirected,102
Lee,Aguilar,Undirected,18
Ryan,Ruiz,Undirected,6
Medina,Santos,Undirected,28
Armstrong,Lewis,Undirected,26
Little,Hill,Undirected,138
Robinson,Garrett,Undirected,5
Graves,Haynes,Undirected,16
Ferguson,Jacobs,Undirected,7
Allen,Bishop,Undirected,31
Gregory,Little,Undirected,17
Rhodes,Olson,Undirected,7
Steele,Reyes,Undirected,12
Morrison,Ward,Undirected,29
Newman,Black,Undirected,16
Lee,Castillo,Undirected,63
Clark,Stewart,Undirected,7
Hill,Neal,Undirected,6
Walters,Martin,Undirected,92
Salazar,Larson,Undirected,42
Chambers,Dean,Undirected,70
Banks,Nelson,Undirected,15
Carlson,Henry,Undirected,8
Vasquez,Bush,Undirected,16
Diaz,Henry,Undirected,6
Frazier,Lee,Undirected,63
Walters,Schneider,Undirected,7
Wong,Lewis,Undirected,18
Gonzales,Carroll,Undirected,17
Hopkins,Lewis,Undirected,32
Schwartz,Stanley,Undirected,30
Hoffman,Gilbert,Undirected,44
Larson,Armstrong,Undirected,50
Guerrero,Schmidt,Undirected,8
Walters,Norris,Undirected,11
Green,Weber,Undirected,20
Stanley,Martinez,Undirected,26
Park,Gomez,Undirected,8
Lee,Morris,Undirected,7
Kim,Rios,Undirected,25
Brown,Burke,Undirected,35
Rice,Allen,Undirected,13
Gomez,Howard,Undirected,21
Watts,Vasquez,Undirected,11
Walters,Griffin,Undirected,22
Morris,Carroll,Undirected,16
Thomas,Banks,Undirected,26
Mcdaniel,Lewis,Undirected,7
Welch,Mccoy,Undirected,13
Douglas,Webb,Undirected,9
Reyes,Jennings,Undirected,13
Little,Barnes,Undirected,7
Garrett,Howell,Undirected,34
Peterson,Carroll,Undirected,10
Frazier,Flores,Undirected,28
Elliott,Dean,Undirected,13
Watts,Long,Undirected,26
Hughes,Munoz,Undirected,29
Henry,Carlson,Undirected,31
Park,Bryant,Undirected,7
Chambers,Norris,Undirected,5
Webb,Hunt,Undirected,34
Norris,Jordan,Undirected,26
Perkins,Norris,Undirected,26
Chambers,Robertson,Undirected,28
Burton,Lambert,Undirected,22
Russell,Gilbert,Undirected,6
Young,Powers,Undirected,13
Lucas,Spencer,Undirected,8
Perez,Byrd,Undirected,52
Schneider,Young,Undirected,15
